modelKey,aircraftType,label,uri,livery,category,scale,headingOffsetDeg,enabled,notes
a320,A320,Airbus A320,/models/a320/glTF2/A320.glb,default,jet,0.8,0,TRUE,
a332,A332,Airbus A330-200,/models/a332/glTF2/A332.glb,default,jet,0.8,-90,TRUE,
a333,A333,Airbus A330-300,/models/a333/glTF2/A333.glb,default,jet,0.8,-90,TRUE,
a343,A343,Airbus A340-300,/models/a343/glTF2/A343.glb,default,jet,0.8,-90,TRUE,
a350,A350,Airbus A350XWB,/models/a350/glTF2/A350.glb,default,jet,0.8,-90,TRUE,
a380,A380,Airbus A380-omega,/models/a380/glTF2/A380.glb,default,jet,0.8,-90,TRUE,
ask21,AS21,Schleicher ASK 21,/models/ask21/glTF2/ASK21.glb,default,glider,0.5,-90,TRUE,
atr42,AT45,ATR 42,/models/atr42/glTF2/ATR42.glb,default,turboprop,0.7,-90,TRUE,
atr72,AT75,ATR 72,/models/atr72/glTF2/ATR72.glb,default,turboprop,0.7,-90,TRUE,
b407,B407,Bell 407,/models/b407/glTF2/B407.glb,default,helicopter,0.8,-90,TRUE,
b707,B707,Boeing 707,/models/b707/glTF2/B707.glb,default,jet,0.8,-90,TRUE,
b744,B747,Boeing 747-400,/models/b744/glTF2/B744.glb,default,jet,0.8,-90,TRUE,
b748,B748,Boeing 747-8,/models/b748/glTF2/B748.glb,default,jet,0.8,-90,TRUE,
b752,B752,Boeing 757-200,/models/b752/glTF2/B752.glb,default,jet,0.8,0,TRUE,
b767,B767,Boeing 767,/models/b767/output/B767.glb,default,jet,0.8,-90,TRUE,
b767,B762,Boeing 767-200ER,/models/b767/output/B767.glb,default,jet,0.8,-90,TRUE,
b767,B763,Boeing 767-300ER,/models/b767/glTF2/B763.glb,default,jet,0.8,-90,TRUE,
b777,B777,Boeing 777,/models/b777/glTF2/B777.glb,default,jet,0.8,-90,TRUE,Need to make glTF2
b777,B772,Boeing 777-200,/models/b777/glTF2/B777.glb,default,jet,0.8,-90,TRUE,
b788,B788,Boeing 787-8,/models/b788/glTF2/B788.glb,default,jet,0.8,-90,TRUE,
bcs1,BCS1,Airbus A220-100 / Bombardier CS100,/models/bcs1/glTF2/BCS1.glb,default,jet,0.8,-90,TRUE,
c182,C182,Cessna 182 Skylane,/models/c182/glTF2/C182.glb,default,piston,0.4,-90,TRUE,
c208,C208,Cessna 208 Caravan,/models/c208/glTF2/C208.glb,default,turboprop,0.7,-90,TRUE,
c421,C421,Cessna 421 Golden Eagle,/models/c421/glTF2/C421.glb,default,piston,0.4,-90,TRUE,
c550,C550,Cessna Citation II (C550),/models/c550/glTF2/C550.glb,default,jet,0.8,-90,TRUE,
crj2,CRJ2,Bombardier CRJ200,/models/crj2/glTF2/CRJ2.glb,default,jet,0.8,-90,TRUE,
crj9,CRJ9,Bombardier CRJ900,/models/crj9/glTF2/CRJ9.glb,default,jet,0.8,-90,TRUE,
dhc4,DHC4,de Havilland Canada DHC-4 Caribou,/models/dhc4/glTF2/DHC4.glb,default,turboprop,0.7,-90,TRUE,
dr40,DR40,Robin DR400,/models/dr40/glTF2/DR40.glb,default,piston,0.4,-90,TRUE,
e145,E145,Embraer ERJ-145,/models/e145/glTF2/E145.glb,default,jet,0.8,-90,TRUE,
e190,E190,Embraer 190,/models/e190/glTF2/E190.glb,default,jet,0.8,-90,TRUE,
ec35,EC35,Eurocopter EC135,/models/ec35/glTF2/EC35.glb,default,helicopter,0.5,-90,TRUE,
gazl,GAZL,Aérospatiale Gazelle,/models/gazl/glTF2/GAZL.glb,default,helicopter,0.5,-90,TRUE,
md11,MD11,McDonnell Douglas MD-11,/models/md11/glTF2/MD11.glb,default,jet,0.8,-90,TRUE,
p40,P40,Curtiss P-40 Warhawk,/models/p40/glTF2/P40.glb,default,warbird,0.6,-90,TRUE,
pa18,PA18,Piper PA-18 Super Cub,/models/pa18/glTF2/PA18.glb,default,piston,0.4,90,TRUE,
pa22,PA22,Piper PA-22 Tri-Pacer,/models/pa22/glTF2/PA22.glb,default,piston,0.4,-90,TRUE,
pa28,PA28,Piper PA-28 Cherokee,/models/pa28/glTF2/PA28.glb,default,piston,0.4,-90,TRUE,
pa32,PA32,Piper PA-32 Cherokee Six / Saratoga,/models/pa32/glTF2/PA32.glb,default,piston,0.4,-90,TRUE,
paraglider,PARAGLIDER,Paraglider,/models/paraglider/glTF2/paraglider.glb,default,paraglider,0.3,-90,TRUE,invisible
pc12,PC12,Pilatus PC-12,/models/pc12/glTF2/PC12.glb,default,turboprop,0.7,-90,TRUE,
pc21,PC21,Pilatus PC-21,/models/pc21/glTF2/PC21.glb,default,turboprop,0.7,-90,TRUE,
sr22,SR22,Cirrus SR22,/models/sr22/glTF2/SR22.glb,default,piston,0.3,-90,TRUE,
t134,T134,Tupolev Tu-134,/models/t134/glTF2/T134.glb,default,jet,0.8,-90,TRUE,
ulac,ULAC,FK9 Mark II Ultralight,/models/ulac/output/ulac.glb,default,ultralight,0.2,0,TRUE,
